date	borough	n
413	2015-02-28	Unknown	33
414	2015-03-01	Bronx	1080
415	2015-03-01	Brooklyn	12870
416	2015-03-01	EWR	0
417	2015-03-01	Manhattan	49565
418	2015-03-01	Queens	7257
419	2015-03-01	Staten Island	42
420	2015-03-01	Unknown	25
421	2015-03-02	Bronx	905
422	2015-03-02	Brooklyn	7892
423	2015-03-02	EWR	0
424	2015-03-02	Manhattan	41085
425	2015-03-02	Queens	7523
426	2015-03-02	Staten Island	30
427	2015-03-02	Unknown	25
428	2015-03-03	Bronx	960
429	2015-03-03	Brooklyn	8842
430	2015-03-03	EWR	0
431	2015-03-03	Manhattan	59321
432	2015-03-03	Queens	5890
433	2015-03-03	Staten Island	15
434	2015-03-03	Unknown	20
435	2015-03-04	Bronx	968
436	2015-03-04	Brooklyn	9456
437	2015-03-04	EWR	3
438	2015-03-04	Manhattan	55584
439	2015-03-04	Queens	5865
440	2015-03-04	Staten Island	33
441	2015-03-04	Unknown	22
442	2015-03-05	Bronx	852
443	2015-03-05	Brooklyn	8928
444	2015-03-05	EWR	2
445	2015-03-05	Manhattan	62423
446	2015-03-05	Queens	5188
447	2015-03-05	Staten Island	15
448	2015-03-05	Unknown	38
449	2015-03-06	Bronx	1112
450	2015-03-06	Brooklyn	10969
451	2015-03-06	EWR	1
452	2015-03-06	Manhattan	62838
453	2015-03-06	Queens	8139
454	2015-03-06	Staten Island	32
455	2015-03-06	Unknown	43
456	2015-03-07	Bronx	1248
457	2015-03-07	Brooklyn	14292
458	2015-03-07	EWR	0
459	2015-03-07	Manhattan	58817
460	2015-03-07	Queens	7045
461	2015-03-07	Staten Island	33
462	2015-03-07	Unknown	33
463	2015-03-08	Bronx	957
464	2015-03-08	Brooklyn	11635
465	2015-03-08	EWR	0
466	2015-03-08	Manhattan	41895
467	2015-03-08	Queens	7288
468	2015-03-08	Staten Island	17
469	2015-03-08	Unknown	32
470	2015-03-09	Bronx	839
471	2015-03-09	Brooklyn	7603
472	2015-03-09	EWR	0
473	2015-03-09	Manhattan	38862
474	2015-03-09	Queens	6564
475	2015-03-09	Staten Island	25
476	2015-03-09	Unknown	27
477	2015-03-10	Bronx	914
478	2015-03-10	Brooklyn	9229
479	2015-03-10	EWR	1
480	2015-03-10	Manhattan	56543
481	2015-03-10	Queens	5452
482	2015-03-10	Staten Island	16
483	2015-03-10	Unknown	30
484	2015-03-11	Bronx	877
485	2015-03-11	Brooklyn	8663
486	2015-03-11	EWR	1
487	2015-03-11	Manhattan	49796
488	2015-03-11	Queens	5917
489	2015-03-11	Staten Island	29
490	2015-03-11	Unknown	32
491	2015-03-12	Bronx	944
492	2015-03-12	Brooklyn	9744
493	2015-03-12	EWR	0
494	2015-03-12	Manhattan	56819
495	2015-03-12	Queens	6479
496	2015-03-12	Staten Island	27
497	2015-03-12	Unknown	25
498	2015-03-13	Bronx	1158
499	2015-03-13	Brooklyn	11907
500	2015-03-13	EWR	0
501	2015-03-13	Manhattan	59186
502	2015-03-13	Queens	6948
503	2015-03-13	Staten Island	36
504	2015-03-13	Unknown	37
505	2015-03-14	Bronx	1265
506	2015-03-14	Brooklyn	16330
507	2015-03-14	EWR	0
508	2015-03-14	Manhattan	65886
509	2015-03-14	Queens	7390
510	2015-03-14	Staten Island	47
511	2015-03-14	Unknown	38
512	2015-03-15	Bronx	1129
513	2015-03-15	Brooklyn	12603
514	2015-03-15	EWR	1
515	2015-03-15	Manhattan	42384
516	2015-03-15	Queens	7264
517	2015-03-15	Staten Island	20
518	2015-03-15	Unknown	20
519	2015-03-16	Bronx	799
520	2015-03-16	Brooklyn	8300
521	2015-03-16	EWR	0
522	2015-03-16	Manhattan	38234
523	2015-03-16	Queens	7432
524	2015-03-16	Staten Island	35
525	2015-03-16	Unknown	24
526	2015-03-17	Bronx	869
527	2015-03-17	Brooklyn	9575
528	2015-03-17	EWR	0
529	2015-03-17	Manhattan	46536
530	2015-03-17	Queens	5846
531	2015-03-17	Staten Island	28
532	2015-03-17	Unknown	32
533	2015-03-18	Bronx	973
534	2015-03-18	Brooklyn	10090
535	2015-03-18	EWR	0
536	2015-03-18	Manhattan	52747
537	2015-03-18	Queens	6511
538	2015-03-18	Staten Island	37
539	2015-03-18	Unknown	26
540	2015-03-19	Bronx	951
541	2015-03-19	Brooklyn	10371
542	2015-03-19	EWR	0
543	2015-03-19	Manhattan	57016
544	2015-03-19	Queens	7449
545	2015-03-19	Staten Island	25
546	2015-03-19	Unknown	27
547	2015-03-20	Bronx	1327
548	2015-03-20	Brooklyn	13302
549	2015-03-20	EWR	0
550	2015-03-20	Manhattan	72863
551	2015-03-20	Queens	7698
552	2015-03-20	Staten Island	44
553	2015-03-20	Unknown	39
554	2015-03-21	Bronx	1262
555	2015-03-21	Brooklyn	15506
556	2015-03-21	EWR	1
557	2015-03-21	Manhattan	55569
558	2015-03-21	Queens	8308
559	2015-03-21	Staten Island	39
560	2015-03-21	Unknown	60
561	2015-03-22	Bronx	1157
562	2015-03-22	Brooklyn	13998
563	2015-03-22	EWR	0
564	2015-03-22	Manhattan	44994
565	2015-03-22	Queens	9123
566	2015-03-22	Staten Island	35
567	2015-03-22	Unknown	30
568	2015-03-23	Bronx	942
569	2015-03-23	Brooklyn	8964
570	2015-03-23	EWR	1
571	2015-03-23	Manhattan	42730
572	2015-03-23	Queens	7803
573	2015-03-23	Staten Island	35
574	2015-03-23	Unknown	23
575	2015-03-24	Bronx	916
576	2015-03-24	Brooklyn	9330
577	2015-03-24	EWR	0
578	2015-03-24	Manhattan	47776
579	2015-03-24	Queens	6323
580	2015-03-24	Staten Island	32
581	2015-03-24	Unknown	23
582	2015-03-25	Bronx	1013
583	2015-03-25	Brooklyn	10383
584	2015-03-25	EWR	0
585	2015-03-25	Manhattan	56141
586	2015-03-25	Queens	6358
